,0
HNF1B|6928,0.9489910629272884
ACY3|91703,0.5939553948157039
USH1C|10083,0.5938870131004981
CASZ1|54897,0.5935942370422089
UGT2A3|79799,0.59297874868301
PKP3|11187,0.592882102149449
CPNE4|131034,0.5918965746045954
KHK|3795,0.5914622159667202
ALDH3B1|221,0.5912563422802577
ATP10B|23120,0.5902975063028684
C9orf140|89958,0.5901440278785943
TRPM8|79054,0.5892232830520188
ERBB4|2066,0.5889873447560341
HOXA13|3209,0.5889481220755701
SLC22A5|6584,0.5884778501341774
SHH|6469,0.5884738676486629
TMEM37|140738,0.5884683521471243
SLC16A3|9123,0.5880041657492525
VAV3|10451,0.5875028487528227
MET|4233,0.5867127823589275
TRIM10|10107,0.5865784456719774
XBP1|7494,0.5862200336591998
SLC45A3|85414,0.5860105366234691
PDZK1|5174,0.5859443315503472
PFKP|5214,0.5858931938130176
GPRC5A|9052,0.5840253206896162
SLC47A1|55244,0.5818213253005322
TRPM4|54795,0.5814115294789362
SFTA1P|207107,0.581403364834274
CYP2S1|29785,0.5811929816614103
PRELID2|153768,0.5810832920050122
CDX2|1045,0.5808601872499852
CHRM1|1128,0.5799046042182265
MTL5|9633,0.5794367182327089
PLA2G4F|255189,0.5789537429159888
SEC22C|9117,0.578867704294596
EN1|2019,0.5788542183036685
BSPRY|54836,0.5787398972876163
PVRL4|81607,0.5785613735986466
VIPR1|7433,0.5782491871956392
DPYS|1807,0.576501690814508
BCMO1|53630,0.5761777585070891
SLC6A12|6539,0.5755718214268004
CES2|8824,0.5753296675391928
DRAM1|55332,0.5749819149987629
TGFA|7039,0.5749767329968631
IKBIP|121457,0.5749008971285492
CFTR|1080,0.5745087807362612
HAVCR1|26762,0.5742836237577509
GIPC2|54810,0.574215560750766
SLC22A2|6582,0.5738074811561691
IRX4|50805,0.5737307799830169
HSD17B6|8630,0.5736994087660396
NLGN1|22871,0.5735312692909391
DES|1674,0.572949437591133
CANT1|124583,0.5726285302690228
CILP|8483,0.572238914980959
BAIAP2L1|55971,0.5719325434723861
MFSD2B|388931,0.5718911114141669
TINAG|27283,0.5717065318925214
ODC1|4953,0.5713372247600359
ACE2|59272,0.5701660332527299
