,0
HNF1B|6928,0.9556958757721847
IGSF9|57549,0.5911052215772468
FAM13A|10144,0.5904415143585617
HSD17B6|8630,0.5904098910038902
NLGN1|22871,0.5903659141209494
ST6GALNAC1|55808,0.5902277641663398
SLC45A3|85414,0.5899953860820206
AXIN2|8313,0.5891011559197707
UGT2A3|79799,0.5887399467104701
LYPD3|27076,0.5871629059432637
TRPM8|79054,0.5869687901670846
ALDH3B1|221,0.5845588196550395
UNC5CL|222643,0.5844973980769377
C20orf151|140893,0.5836789186522657
PCSK9|255738,0.5836209155138845
CILP|8483,0.5832436089760689
MYOM3|127294,0.5828111667334275
TMEM27|57393,0.5823758480988133
SLC6A13|6540,0.5815856939546948
VAV3|10451,0.5815649493679413
IKBIP|121457,0.581445021103459
TMPRSS4|56649,0.5806112098819849
